date,SP500,NASDAQ,US2,US5,US10,US20,CRUDE_W,GOLD,COPPER,CORN,WHEAT,SOYBEAN,EUR,JPY,GBP
2019-06-28,0.056874665376329125,0.13186653912334864,-0.8888074568351689,0.07254613779870447,0.2866857096733266,0.3583038489249738,0.111059154620656,-0.08424827258467875,0.07913248091158259,-0.11872666809816987,-0.06700715724873176,-0.1337195183985351,0.311302999540157,-0.7241133385841787,-0.47987707059433404
2019-06-30,0.06112756569115824,0.13300031038771962,-0.9157439814907053,0.06979655822704138,0.28573228737921563,0.35187166393822844,0.11136737858952722,-0.09248326906022777,0.08320343394811294,-0.11983022210603073,-0.06457967861558847,-0.13685624432626414,0.3105779669921555,-0.7167637098188052,-0.4762402687214802
2019-07-01,0.06136409122320663,0.13458946311921985,-0.9312923690139627,0.054469175675483684,0.2859360935071694,0.3505286206088629,0.11119516823487002,-0.0903988982612559,0.08363218291000023,-0.11689974173675782,-0.06455598892895406,-0.14171723855032264,0.30822554746549896,-0.700484429013053,-0.4738023259892591
2019-07-02,0.06881845703964917,0.137586698443793,-0.9522915000987553,0.04399844562483822,0.29008799147871867,0.3561661296701579,0.119146069352945,-0.0812078733987516,0.08306882663797853,-0.10259830802795718,-0.06379641039851933,-0.15254123662871677,0.33235577477695777,-0.6056351911481379,-0.491430030293584
2019-07-03,0.07371938844760709,0.14176147802096162,-0.9846958461595238,0.03496384506531951,0.2933866642074056,0.3623388702436987,0.12265926557001448,-0.10286830537962752,0.09150154587137392,-0.10423324199185363,-0.06446766380788463,-0.1511148207609711,0.2848811991582087,-0.6049250291756968,-0.48654025302313175
2019-07-04,0.08023537930854469,0.14701874293308215,-1.006411675178095,0.028302167470245693,0.2973521629708662,0.36422246584127327,0.12371494863937908,-0.10028209651892973,0.07524275894565959,-0.10217949026999706,-0.06373014929736937,-0.145548859516748,0.29450405280590414,-0.5881385505709358,-0.4875080278484095
2019-07-05,0.08391547800402903,0.14837884830507125,-1.000619860571567,0.021399059400486864,0.30240516347263485,0.36504359401743713,0.10939543502566448,-0.11263694727216311,0.07685704508434707,-0.09977993963067955,-0.061454155774345987,-0.14930719114494997,0.2976900740106752,-0.584795189805438,-0.491810885062092
2019-07-07,0.08539123301009163,0.15073490747855134,-0.9840394319663299,0.014856793027411733,0.3067033148761571,0.3688990621396393,0.11021100781584563,-0.12585560990938902,0.07873742554037104,-0.0959214153660799,-0.05940815935732806,-0.14791805029842336,0.3007168750848503,-0.5804867146034176,-0.4965243426760666
2019-07-08,0.07909576469077306,0.15029028948543335,-0.9097134241013043,0.03461044115965391,0.3334222658269964,0.3859827495068021,0.11325159577129107,-0.13242253561067704,0.08109121061143361,-0.08968536525070818,-0.05802903601347484,-0.1472070925320882,0.3044702265721813,-0.5887690742802074,-0.5140152003388241
2019-07-09,0.07894706927571324,0.16009772691502422,-0.7276104997291413,0.040529891231065644,0.2965247924811296,0.33813258689457565,0.1269684902871645,-0.14369686238731744,0.09511569093245145,-0.09991278195181846,-0.06599733183667174,-0.16780787264215455,0.32870367447958654,-0.5922578997501504,-0.5748653079269813
2019-07-10,0.07440284008972783,0.15776894131554303,-0.6705102205723784,0.055796491450523844,0.3195987128483677,0.3551416296758976,0.13080779713993354,-0.15361234022033535,0.09707122823394139,-0.10388521188493613,-0.068286496661092,-0.17290911850079754,0.33168966557340707,-0.6022703935283824,-0.5920558172164535
2019-07-11,0.07005596424795049,0.1606351929130007,-0.6220051079564193,0.06917811232788243,0.3368386160345167,0.3662620508584137,0.13524339374818936,-0.1689253285729287,0.09960881384922249,-0.10479714335391725,-0.06927542399219498,-0.17706259050848394,0.33779369257353,-0.6167786976750625,-0.5832008034941216
2019-07-12,0.06663658453769372,0.1577062390018858,-0.599936607948585,0.07756990517709905,0.3529483622793078,0.3910011740654401,0.13646546761806055,-0.1709611098585872,0.10277914953145978,-0.10571555839828463,-0.07123054835158432,-0.18387175962877328,0.3215300647530185,-0.5905943442656019,-0.5705298011625919
2019-07-14,0.06110956340727845,0.16063268955028376,-0.5170230327150964,0.0834818507519252,0.3397604077009103,0.3748099122290198,0.1342952589587955,-0.17888153765488726,0.09612552473014604,-0.10895753155662274,-0.07476772109874684,-0.17794444757180222,0.33806784164724213,-0.610165820150812,-0.599281880036019
2019-07-15,0.06347587839023812,0.16214742255917203,-0.5121012288533371,0.09401504052843128,0.3550313155210422,0.39111615726215554,0.1367748387048044,-0.18665740124146282,0.09556711238321534,-0.10841723896977651,-0.06845538299012699,-0.1793532149396198,0.3366419947701777,-0.6211331533641233,-0.6006168090660968
2019-07-16,0.06584252338669454,0.16408559295403552,-0.5199066749295395,0.10338252566364156,0.36848899717726885,0.40126158265771705,0.13898674650519469,-0.19477759518932425,0.09871133568002316,-0.10062589207082076,-0.06868004219501903,-0.1755006515872788,0.33975221744266115,-0.6008341723087709,-0.5955191321554596
2019-07-17,0.06677783986505569,0.1645356163068845,-0.5260665017997656,0.11109393578534968,0.3785796058480744,0.39603164588427925,0.14058277114798526,-0.20327984403352206,0.09995626981416408,-0.10122663682858368,-0.06848928705810511,-0.16162411685733297,0.3413526274871522,-0.6169775944115747,-0.5733847628394395
2019-07-18,0.0669213257763607,0.16615257580534779,-0.5510502549812313,0.12105907272968788,0.40019838325906826,0.4170545037713738,0.14608802513981783,-0.21282131577100183,0.10766485306406018,-0.09295786041032669,-0.06320452091543484,-0.1478445656937698,0.33303815463225644,-0.6185913361469061,-0.5064155213036117
2019-07-19,0.0640876612491155,0.1614651852220716,-0.5664527180079935,0.12436738760017296,0.39147821816332384,0.39888437940703214,0.13673636901965322,-0.21101414319202044,0.11156467386347262,-0.09365500447131372,-0.06501153745908556,-0.14706678718751537,0.3378108599898719,-0.626239023358172,-0.512134996596778
2019-07-21,0.06443885206638368,0.16104770671089602,-0.5788816473353756,0.13276424565146672,0.40796335381740556,0.4164971743814248,0.139989410346943,-0.21602477106653434,0.11327961260242327,-0.09606420995684785,-0.0671290513120406,-0.15235785020558273,0.3409038263921207,-0.6120389408696139,-0.45727042384497785
2019-07-22,0.0612760990620328,0.16046248657070444,-0.5851899182530823,0.13823839739883173,0.41657461063147694,0.4269610386483388,0.13937718887180178,-0.22140325282275852,0.09419060313786394,-0.09465109422068187,-0.06701943412590568,-0.13903536167682023,0.34169025525264274,-0.6123946485931182,-0.46133582807801593
2019-07-23,0.06222637104916329,0.14226918533923344,-0.5927443918670933,0.14302355773721895,0.4241455965955274,0.43281527514133433,0.14164051858280186,-0.21288006013923147,0.09428389662423589,-0.0957272168633047,-0.06695664046965152,-0.13745009130302904,0.32918591773991795,-0.6206247679130428,-0.4646223268446973
2019-07-24,0.06167006957780061,0.13582834946350078,-0.5925406544515462,0.14620833884832796,0.4265031776198544,0.4321773344415814,0.14134183956436341,-0.21509424359367246,0.0898546500769223,-0.09538434480241414,-0.06718218153914475,-0.13657160237126198,0.3453444814458033,-0.616778933136902,-0.45974735078622225
2019-07-25,0.060659170325839645,0.13755796614091717,-0.6063914111405979,0.1508024778373008,0.431814267179216,0.4284770718003685,0.14431199874790254,-0.21939921825384184,0.08676658779668797,-0.09684717079372673,-0.06815954943761737,-0.13971996766863232,0.320771342056009,-0.6079448820455728,-0.46384533390413596
